Name,Ansprechpartner_Inhaber,TechStack_CMS,Category,Phone_GMaps,Phone_Impressum,Phone_DirectMobile,Email_General,Email_Direct,Website,Address,Rating,Reviews,Facebook,Instagram,LinkedIn,PlaceID
BAR42,,WordPress • Avada • Google Analytics • Cookiebot,Bar,0170 2178006,"+4934124834182, 0341-24834182, +4915111671858",+4915111671858,"cs@gecko-group.de, tom@gecko-two.de, r.hoelzer@gecko-one.de","cs@gecko-group.de, tom@gecko-two.de",https://r42.gg/bar42/,"Ritterstraße 42, 04109 Leipzig",4.9,431,https://www.facebook.com/R42gg/,https://www.instagram.com/r42.gg/,https://www.linkedin.com/company/76182036,10130718573179029722
Sonderbar,,N/A (No Website),Cocktailbar,0341 2248206,,,,,,"Nikolaistraße 6, 04109 Leipzig",4.8,262,,,,8537123919201033352
Brick's der Cocktail,,Custom HTML / Standard,Cocktailbar,0341 9614327,,,,,https://www.facebook.com/pages/category/Cocktail-Bar/Bricks-der-Cocktail-165258913489072,"Eingang, Brühl, Nikolaistraße 52, 04109 Leipzig",4.5,955,,,,9479347382784247320
R10 Bar,,Wix • React • Bootstrap,Restaurant,0341 24813064,"+4934124813064, +49 (0) 34124813064, +49(0)34124813064",,"info@ther10.com, beispiel@email.com",beispiel@email.com,https://www.ther10.com/,"Ratsfreischulstraße 10, 04109 Leipzig",4.7,363,,http://www.instagram.com/r10bar,,15628229167408453968
Rooftop One Bar Leipzig-Post,"Stefan Lenze, Daniel Müller, Armin Rödel, Michael Wiessler",TYPO3 • Nuxt.js • Usercentrics,Bar,0341 9621050,"0181112, 06112018, 06-010722","017-12-15, 017-11-15","info@motel-one.com, info@the-cloud-one.com, bitv@bayern.de",bitv@bayern.de,https://www.motel-one.com/de/essen-trinken/rooftop-one-bars/,"Grimmaischer Steinweg 1, 04103 Leipzig",4.6,223,https://www.facebook.com/motelone,https://www.instagram.com/motel_one,,4131109286076954486
IMPERII,,Custom HTML / Standard,Restaurant,0341 96283789,,,,,http://www.imperii.de/,"Brühl 72, 04109 Leipzig",4.6,1276,https://www.facebook.com/imperii.de,https://www.instagram.com/imperiileipzig,,1091925019841325203
Das Tollkühn,,WordPress • Divi,Bar,0175 6518911,"0 0 256 256, 0 0 -1 0 266, 0 00-128 126",,"das.tollkuehn.lpz@gmail.com, vermietung@dastollkuehn.com","das.tollkuehn.lpz@gmail.com, vermietung@dastollkuehn.com",http://www.dastollkuehn-leipzig.de/,"August-Bebel-Straße 1, 04275 Leipzig",4.9,78,https://www.facebook.com/p/Das-Tollk%C3%BChn-61560750044538/,https://www.instagram.com/das_tollkuehn/,,14587686794233377295
Papillon/ Piano Bar und Restaurant,,N/A (No Website),Restaurant,0341 65866132,,,,,,"Burgpl. 2, 04109 Leipzig",4.7,232,,,,6363913005706007102
Mephisto Bar,,Matomo,Bar,0341 216100,"+49 (0) 341 216 100, +49 (0)341 21610-0, +49 341 216100",,info@auerbachs-keller-leipzig.de,,https://www.auerbachs-keller-leipzig.de/de/unser-haus/mephisto-bar/mephisto-bar.php,"Grimmaische Str. 2-4, 04109 Leipzig",4.7,625,https://www.facebook.com/auerbachskeller/,https://www.instagram.com/auerbachskeller/,,17796048398394118768
Barfusz,,Google Analytics • Usercentrics,Bar,0341 9628624,"0341 861 64 73, 09 569 228",,,,http://www.barfusz.de/,"Markt 9, 04109 Leipzig",4.5,3172,https://www.facebook.com/Barfusz/,https://www.instagram.com/barfusz/,,9423924027023811206
